VAR_EDDY.Qc_tau,VAR_EDDY.MO_length,VAR_EDDY.u_star,VAR_EDDY.wind_dir,VAR_EDDY.U,VAR_EDDY.tau,datetime,season_year,season_date,target_doy,group_name
0,-2524.592,0.57799,265.56,4.12261,-0.42087,2017-01-15T19:00:00.0,2017,2017-01-15,15,momentum_flux
0,-3926.448,0.63468,268.32,4.11744,-0.50718,2017-01-15T19:30:00.0,2017,2017-01-15,15,momentum_flux
0,-1527.819,0.48621,272.07,3.59433,-0.29734,2017-01-15T20:00:00.0,2017,2017-01-15,15,momentum_flux
0,-2490.595,0.53204,274.45,3.58365,-0.35611,2017-01-15T20:30:00.0,2017,2017-01-15,15,momentum_flux
0,-1211.513,0.45907,270.87,3.48631,-0.26504,2017-01-15T21:00:00.0,2017,2017-01-15,15,momentum_flux
0,-1456.395,0.4558,273.79,3.57438,-0.26119,2017-01-15T21:30:00.0,2017,2017-01-15,15,momentum_flux
0,-681.301,0.36381,274.81,3.07279,-0.1663,2017-01-15T22:00:00.0,2017,2017-01-15,15,momentum_flux
0,-1026.766,0.35668,275.5,3.04624,-0.1597,2017-01-15T22:30:00.0,2017,2017-01-15,15,momentum_flux
0,102636.0,0.34252,280.92,3.4087,-0.14706,2017-01-15T23:00:00.0,2017,2017-01-15,15,momentum_flux
0,-1553.75,0.43942,274.16,3.7984,-0.24199,2017-01-15T23:30:00.0,2017,2017-01-15,15,momentum_flux
0,-15165.3,1.22188,245.66,7.04082,-1.88531,2018-01-15T00:00:00.0,2018,2018-01-15,15,momentum_flux
0,-14851.43,1.25448,245.69,6.69547,-1.98682,2018-01-15T00:30:00.0,2018,2018-01-15,15,momentum_flux
0,-11280.1,1.21341,244.2,7.14129,-1.85829,2018-01-15T01:00:00.0,2018,2018-01-15,15,momentum_flux
0,-42532.6,,245.59,7.1061,-2.40238,2018-01-15T01:30:00.0,2018,2018-01-15,15,momentum_flux
0,-18701.25,,245.16,7.15646,-2.12991,2018-01-15T02:00:00.0,2018,2018-01-15,15,momentum_flux
0,-22782.24,,244.89,7.62618,-2.35141,2018-01-15T02:30:00.0,2018,2018-01-15,15,momentum_flux
0,21209.0,,243.6,7.77644,-2.22892,2018-01-15T03:00:00.0,2018,2018-01-15,15,momentum_flux
0,-45704.22,,245.18,7.50908,-2.40415,2018-01-15T03:30:00.0,2018,2018-01-15,15,momentum_flux
0,19277.44,,248.78,8.13423,-2.52275,2018-01-15T04:00:00.0,2018,2018-01-15,15,momentum_flux
0,21471.8,,247.67,8.73566,-3.07083,2018-01-15T04:30:00.0,2018,2018-01-15,15,momentum_flux
0,13412.91,,247.71,8.13265,-3.07897,2018-01-15T05:00:00.0,2018,2018-01-15,15,momentum_flux
0,17886.78,,247.36,8.15036,-2.62145,2018-01-15T05:30:00.0,2018,2018-01-15,15,momentum_flux
0,45385.25,,246.27,7.42291,-2.39278,2018-01-15T06:00:00.0,2018,2018-01-15,15,momentum_flux
0,15068.75,,245.44,7.94589,-2.72954,2018-01-15T06:30:00.0,2018,2018-01-15,15,momentum_flux
0,15755.53,,247.29,8.07579,-2.82626,2018-01-15T07:00:00.0,2018,2018-01-15,15,momentum_flux
0,61056.46,,246.59,7.95543,-2.43176,2018-01-15T07:30:00.0,2018,2018-01-15,15,momentum_flux
0,22499.92,,247.39,7.63996,-3.05585,2018-01-15T08:00:00.0,2018,2018-01-15,15,momentum_flux
0,16404.81,,248.23,8.55599,-3.27644,2018-01-15T08:30:00.0,2018,2018-01-15,15,momentum_flux
0,25203.86,,242.73,8.28438,-2.67965,2018-01-15T09:00:00.0,2018,2018-01-15,15,momentum_flux
0,15677.8,,242.85,8.51818,-2.90535,2018-01-15T09:30:00.0,2018,2018-01-15,15,momentum_flux
0,12828.9,,241.55,8.58867,-2.52365,2018-01-15T10:00:00.0,2018,2018-01-15,15,momentum_flux
0,52916.89,,241.14,8.04074,-2.41735,2018-01-15T10:30:00.0,2018,2018-01-15,15,momentum_flux
0,30424.37,,241.12,8.17349,-2.93162,2018-01-15T11:00:00.0,2018,2018-01-15,15,momentum_flux
0,135096.8,,242.25,7.44385,-2.22306,2018-01-15T11:30:00.0,2018,2018-01-15,15,momentum_flux
0,36423.07,1.35185,239.68,6.98325,-2.32031,2018-01-15T12:00:00.0,2018,2018-01-15,15,momentum_flux
0,-59530.01,,241.29,7.75556,-2.17106,2018-01-15T12:30:00.0,2018,2018-01-15,15,momentum_flux
0,-283071.5,,239.56,7.78803,-2.52887,2018-01-15T13:00:00.0,2018,2018-01-15,15,momentum_flux
0,-660925.4,1.22528,239.02,6.36429,-1.9122,2018-01-15T13:30:00.0,2018,2018-01-15,15,momentum_flux
